Accuracy,Time,Condition
0.924,2500,Control
0.966,2500,Control
1.0,2500,Control
0.924,2500,Control
0.995,2500,Control
0.909,2500,Control
0.752,2500,Control
1.0,2500,Control
0.74,2500,Control
0.961,2500,Control
0.879,2500,Control
0.902,2500,Control
0.799,2500,Control
1.0,2500,Control
0.811,2500,Control
0.898,2500,Control
0.973,2500,Control
0.961,2500,Control
0.992,2500,Control
0.889,2500,Control
0.965,2500,Control
0.91,2500,Control
0.993,2500,Control
0.932,2500,Control
1.0,2500,Control
1.0,2500,Control
0.921,2500,Control
0.9,2500,Control
0.904,2500,Control
0.945,2500,Control
0.996,2500,Control
0.912,2500,Control
0.877,2500,Control
0.855,2500,Control
0.932,2500,Control
0.847,2500,Control
1.0,2500,Control
0.8,2500,Control
0.973,2500,Control
0.915,2500,Control
0.99,2500,Control
0.949,2500,Control
0.894,2500,Control
0.74,2500,Control
0.836,2500,Control
0.807,2500,Control
0.904,2500,Control
0.691,2500,Control
0.971,2500,Control
0.984,2500,Control
1.0,2500,Control
0.893,2500,Control
0.8,2500,Control
0.944,2500,Control
0.827,2500,Control
0.992,2500,Control
0.681,2500,Control
1.0,2500,Control
0.942,2500,Control
0.889,2500,Control
0.987,2500,Control
0.785,2500,Control
0.91,2500,Control
0.952,2500,Control
0.844,2500,Control
1.0,2500,Control
0.976,2500,Control
0.891,2500,Control
0.943,2500,Control
0.948,2500,Control
0.997,2500,Control
0.9,2500,Control
0.888,2500,Control
0.937,2500,Control
0.875,2500,Control
0.946,2500,Control
0.99,2500,Control
0.992,2500,Control
0.886,2500,Control
0.908,2500,Control
0.887,2500,Control
1.0,2500,Control
0.785,2500,Control
0.978,2500,Control
0.772,2500,Control
0.8,2500,Control
1.0,2500,Control
0.907,2500,Control
0.907,2500,Control
0.976,2500,Control
0.924,2500,Control
0.979,2500,Control
0.681,2500,Control
0.907,2500,Control
0.937,2500,Control
0.977,2500,Control
0.857,2500,Control
0.995,2500,Control
1.0,2500,Control
1.0,2500,Control
0.774,2500,Control
0.939,2500,Control
0.739,2500,Control
0.974,2500,Control
0.943,2500,Control
0.932,2500,Control
0.86,2500,Control
0.818,2500,Control
0.879,2500,Control
0.681,2500,Control
0.936,2500,Control
1.0,2500,Control
0.789,2500,Control
0.86,2500,Control
0.902,2500,Control
0.937,2500,Control
0.986,2500,Control
0.985,2500,Control
0.979,2500,Control
0.898,2500,Control
0.991,2500,Control
0.933,2500,Control
0.911,2500,Control
0.901,2500,Control
0.811,2500,Control
0.888,2500,Control
0.995,2500,Control
0.871,2500,Control
0.807,2500,Control
0.885,2500,Control
0.792,2500,Control
0.708,2500,Control
0.949,2500,Control
0.982,2500,Control
